Time (UTC);Open;High;Low;Close
15.04.2022 12:00;1,0815;1,08197;1,08105;1,08125
15.04.2022 13:00;1,08127;1,08133;1,08061;1,08126
15.04.2022 14:00;1,08126;1,0813;1,08061;1,08078
15.04.2022 15:00;1,08074;1,08105;1,08051;1,08081
15.04.2022 16:00;1,08079;1,08097;1,08053;1,08057
15.04.2022 17:00;1,08059;1,08112;1,08047;1,08091
15.04.2022 18:00;1,08091;1,08108;1,08072;1,08093
15.04.2022 19:00;1,08095;1,08095;1,08059;1,0808
15.04.2022 20:00;1,08081;1,08138;1,08055;1,08057
17.04.2022 21:00;1,08029;1,08083;1,08009;1,0808
17.04.2022 22:00;1,0808;1,08214;1,08031;1,08203
17.04.2022 23:00;1,08204;1,08216;1,08125;1,08139
18.04.2022 00:00;1,08138;1,08156;1,07936;1,08008
18.04.2022 01:00;1,08007;1,08119;1,07957;1,08067
18.04.2022 02:00;1,08067;1,08092;1,07958;1,08017
18.04.2022 03:00;1,0802;1,08027;1,07907;1,07928
18.04.2022 04:00;1,0793;1,07965;1,07892;1,07923
18.04.2022 05:00;1,07924;1,07948;1,07886;1,07943
18.04.2022 06:00;1,07942;1,08001;1,07904;1,07936
18.04.2022 07:00;1,07936;1,08036;1,0787;1,07912
18.04.2022 08:00;1,07911;1,07946;1,07831;1,07918
18.04.2022 09:00;1,07917;1,07982;1,07894;1,07927
18.04.2022 10:00;1,07926;1,08012;1,079;1,08005
18.04.2022 11:00;1,08005;1,08135;1,08005;1,08091
18.04.2022 12:00;1,08092;1,08145;1,0799;1,08049
18.04.2022 13:00;1,08048;1,08107;1,07965;1,08005
18.04.2022 14:00;1,08006;1,08046;1,07909;1,07924
18.04.2022 15:00;1,07925;1,07978;1,0783;1,07837
18.04.2022 16:00;1,07834;1,07866;1,07698;1,07728
18.04.2022 17:00;1,07726;1,07838;1,07713;1,07828
18.04.2022 18:00;1,07828;1,07862;1,07824;1,07842
18.04.2022 19:00;1,07839;1,07842;1,07779;1,07829
18.04.2022 20:00;1,0783;1,07837;1,07804;1,07804
18.04.2022 21:00;1,07809;1,07815;1,07751;1,07781
18.04.2022 22:00;1,07781;1,07879;1,07765;1,07809
18.04.2022 23:00;1,07809;1,07846;1,07754;1,07799
19.04.2022 00:00;1,07799;1,07874;1,07729;1,07789
19.04.2022 01:00;1,0779;1,07842;1,07753;1,07769
19.04.2022 02:00;1,07769;1,07778;1,0761;1,07686
19.04.2022 03:00;1,07685;1,07752;1,07668;1,07724
19.04.2022 04:00;1,07724;1,07815;1,07672;1,07719
19.04.2022 05:00;1,07718;1,07771;1,07665;1,07743
19.04.2022 06:00;1,07742;1,07877;1,07672;1,07825
19.04.2022 07:00;1,07827;1,08027;1,07813;1,08018
19.04.2022 08:00;1,08021;1,08145;1,07932;1,08107
19.04.2022 09:00;1,08108;1,08112;1,07936;1,07982
19.04.2022 10:00;1,0798;1,0798;1,07846;1,07938
19.04.2022 11:00;1,07937;1,07972;1,0785;1,07957
19.04.2022 12:00;1,07958;1,08042;1,07887;1,07937
19.04.2022 13:00;1,07938;1,08082;1,07858;1,08058
19.04.2022 14:00;1,08061;1,08062;1,07848;1,07854
19.04.2022 15:00;1,07854;1,0796;1,07818;1,07893
19.04.2022 16:00;1,07893;1,0798;1,07836;1,07964
19.04.2022 17:00;1,07965;1,08032;1,07887;1,0789
19.04.2022 18:00;1,0789;1,07947;1,07822;1,07901
19.04.2022 19:00;1,07899;1,07918;1,07828;1,07887
19.04.2022 20:00;1,07886;1,07919;1,07848;1,0788
19.04.2022 21:00;1,0788;1,07903;1,07849;1,07894
19.04.2022 22:00;1,0789;1,07924;1,07872;1,07899
19.04.2022 23:00;1,079;1,07952;1,07872;1,07941
20.04.2022 00:00;1,07942;1,07989;1,0787;1,07963
20.04.2022 01:00;1,07964;1,08009;1,07838;1,07968
20.04.2022 02:00;1,07967;1,08094;1,07925;1,08071
20.04.2022 03:00;1,08075;1,08226;1,08059;1,08186
20.04.2022 04:00;1,08187;1,08221;1,08148;1,08202
20.04.2022 05:00;1,082;1,082;1,08128;1,08164
20.04.2022 06:00;1,08163;1,0818;1,08078;1,0813
20.04.2022 07:00;1,08131;1,08186;1,0807;1,08091
20.04.2022 08:00;1,08091;1,08412;1,08057;1,08396
20.04.2022 09:00;1,08397;1,0867;1,08295;1,08541
20.04.2022 10:00;1,08541;1,08655;1,0851;1,08586
20.04.2022 11:00;1,08583;1,0859;1,0825;1,08265
20.04.2022 12:00;1,08265;1,08328;1,08205;1,08289
20.04.2022 13:00;1,0829;1,08435;1,08219;1,08415
20.04.2022 14:00;1,08414;1,08657;1,08413;1,08645
20.04.2022 15:00;1,08643;1,08661;1,08466;1,08546
20.04.2022 16:00;1,08545;1,08598;1,08408;1,08428
20.04.2022 17:00;1,08428;1,08523;1,08397;1,08515
20.04.2022 18:00;1,08515;1,08573;1,08401;1,08412
20.04.2022 19:00;1,08411;1,08543;1,08406;1,08535
20.04.2022 20:00;1,08535;1,08548;1,08476;1,08514
20.04.2022 21:00;1,08505;1,0852;1,08395;1,08506
20.04.2022 22:00;1,08508;1,08543;1,08458;1,08527
20.04.2022 23:00;1,08527;1,08544;1,08467;1,08493
21.04.2022 00:00;1,08491;1,08505;1,08311;1,08355
21.04.2022 01:00;1,08356;1,08435;1,08345;1,08376
21.04.2022 02:00;1,08376;1,08376;1,08242;1,0826
21.04.2022 03:00;1,08258;1,08316;1,08234;1,08304
21.04.2022 04:00;1,08305;1,08352;1,08289;1,08321
21.04.2022 05:00;1,0832;1,08517;1,08315;1,08468
21.04.2022 06:00;1,08468;1,09035;1,08459;1,09021
21.04.2022 07:00;1,0902;1,09362;1,08878;1,0927
21.04.2022 08:00;1,0927;1,09298;1,09112;1,09211
