Time (UTC);Open;High;Low;Close;Volume 
2022.07.24 21:00:00;1,02083;1,02578;1,01784;1,02176;315631,29
2022.07.25 21:00:00;1,02189;1,025;1,01074;1,01145;257356,09
2022.07.26 21:00:00;1,01138;1,02206;1,00966;1,01955;263732,37
2022.07.27 21:00:00;1,01935;1,02343;1,01138;1,01966;297891,6106
2022.07.28 21:00:00;1,0196;1,02542;1,0146;1,02248;437017,57
2022.07.31 21:00:00;1,02098;1,02751;1,02053;1,02607;532039,7374
2022.08.01 21:00:00;1,02607;1,02939;1,01633;1,01652;637944,065
2022.08.02 21:00:00;1,01648;1,02102;1,01226;1,01643;627251,46
2022.08.03 21:00:00;1,01642;1,02537;1,01542;1,0244;472123,71
2022.08.04 21:00:00;1,02441;1,0252;1,01415;1,01825;388706,53
2022.08.07 21:00:00;1,01726;1,02217;1,0159;1,01946;229087,01
2022.08.08 21:00:00;1,01946;1,02472;1,01885;1,02126;243217,26
2022.08.09 21:00:00;1,02126;1,03685;1,0202;1,02988;407071,62
2022.08.10 21:00:00;1,02987;1,03642;1,02752;1,0319;503953,25
2022.08.11 21:00:00;1,0317;1,03274;1,0238;1,0259;414339,6
2022.08.14 21:00:00;1,02551;1,02682;1,01544;1,01592;395829,34
2022.08.15 21:00:00;1,01592;1,01948;1,01225;1,01702;424265,38
2022.08.16 21:00:00;1,01702;1,02029;1,01453;1,01797;436431,64
2022.08.17 21:00:00;1,0178;1,01929;1,00795;1,00868;390562,57
2022.08.18 21:00:00;1,0087;1,00954;1,00318;1,00326;387656,302
2022.08.21 21:00:00;1,00366;1,00466;0,9926;0,99427;429239,4
2022.08.22 21:00:00;0,99427;1,00181;0,99002;0,99688;519809,489
2022.08.23 21:00:00;0,99686;0,99993;0,99099;0,99642;476065,22
2022.08.24 21:00:00;0,99641;1,00334;0,9949;0,99737;484589,83
2022.08.25 21:00:00;0,99739;1,00898;0,99463;0,99623;445527,22
2022.08.28 21:00:00;0,99657;1,00291;0,99141;0,99958;419726,39
2022.08.29 21:00:00;0,99943;1,00547;0,99818;1,00129;543464,53
2022.08.30 21:00:00;1,00128;1,0079;0,99712;1,00522;552375,86
2022.08.31 21:00:00;1,00525;1,00557;0,99107;0,99431;537707,91
2022.09.01 21:00:00;0,99429;1,00335;0,99427;0,99515;552328,55
2022.09.04 21:00:00;0,99285;0,9944;0,98772;0,99285;399017,664
2022.09.05 21:00:00;0,99245;0,99862;0,98638;0,99029;621330,056
2022.09.06 21:00:00;0,9903;1,00108;0,98756;1,00033;524516,03
2022.09.07 21:00:00;0,99989;1,00294;0,99303;0,99959;522124,33
2022.09.08 21:00:00;0,9995;1,01131;0,99949;1,00425;356663,89
2022.09.11 21:00:00;1,01039;1,01977;1,00596;1,01214;397821,34
2022.09.12 21:00:00;1,01215;1,0187;0,99662;0,99671;541235,01
2022.09.13 21:00:00;0,99669;1,00234;0,99554;0,99791;643459,526
2022.09.14 21:00:00;0,99791;1,00177;0,99556;0,99959;491565,45
2022.09.15 21:00:00;0,99981;1,00363;0,99448;1,00146;506777,15
2022.09.18 21:00:00;1,00072;1,00291;0,99657;1,00215;389192,96
2022.09.19 21:00:00;1,00216;1,00504;0,9955;0,99706;410189,25
2022.09.20 21:00:00;0,99706;0,9975;0,98128;0,98368;659387,232
2022.09.21 21:00:00;0,98365;0,99074;0,9808;0,98342;785093,67
2022.09.22 21:00:00;0,98327;0,98517;0,9668;0,96885;725076,49
2022.09.25 21:00:00;0,96666;0,97098;0,95503;0,96085;1029844,66
2022.09.26 21:00:00;0,96077;0,96707;0,95689;0,95931;683525,42
2022.09.27 21:00:00;0,9592;0,97508;0,95357;0,97323;973091,07
2022.09.28 21:00:00;0,97322;0,98158;0,96353;0,98146;702366,81
2022.09.29 21:00:00;0,98148;0,98537;0,97346;0,98013;588286,89
2022.10.02 21:00:00;0,97933;0,98445;0,97525;0,98248;706603,72
2022.10.03 21:00:00;0,98248;0,99995;0,9806;0,99852;597033,26
2022.10.04 21:00:00;0,99841;0,99947;0,98346;0,98821;533194,2025
2022.10.05 21:00:00;0,98795;0,99264;0,9788;0,97896;714846,8
2022.10.06 21:00:00;0,97902;0,98167;0,97259;0,97388;671796,863
2022.10.09 21:00:00;0,97336;0,97531;0,96815;0,97018;496394,74
2022.10.10 21:00:00;0,97009;0,97745;0,96698;0,97054;773514,4
2022.10.11 21:00:00;0,97039;0,97346;0,96678;0,97022;763598,81
2022.10.12 21:00:00;0,97019;0,98057;0,96315;0,97739;796010,34
2022.10.13 21:00:00;0,97739;0,98086;0,9707;0,97182;807190,77
2022.10.16 21:00:00;0,97201;0,9852;0,97182;0,98389;642625,12
2022.10.17 21:00:00;0,98375;0,98755;0,98124;0,98558;707308,75
2022.10.18 21:00:00;0,98543;0,98721;0,97571;0,97721;683238,06
2022.10.19 21:00:00;0,97715;0,98454;0,97544;0,97843;707103,32
2022.10.20 21:00:00;0,9784;0,98689;0,97048;0,98613;902998,71
2022.10.23 21:00:00;0,98712;0,9899;0,98067;0,98728;926041,97
2022.10.24 21:00:00;0,98703;0,99768;0,98484;0,99646;670873,06
2022.10.25 21:00:00;0,99646;1,00885;0,99434;1,00785;653440,53
2022.10.26 21:00:00;1,00771;1,00934;0,99575;0,99635;613607,91
2022.10.27 21:00:00;0,99635;0,9998;0,99265;0,99631;633188,55
2022.10.30 21:00:00;0,99464;0,99656;0,98728;0,98802;471710,5893
2022.10.31 21:00:00;0,98801;0,99539;0,98527;0,98738;384511,48
2022.11.01 21:00:00;0,98719;0,99757;0,98129;0,98145;599468,03
2022.11.02 21:00:00;0,98139;0,98394;0,97299;0,97468;602500,28
2022.11.03 21:00:00;0,97468;0,99664;0,97424;0,9956;649038,56
2022.11.06 22:00:00;0,99036;1,0034;0,99001;1,00182;610068,92
2022.11.07 22:00:00;1,00184;1,00963;0,99715;1,00708;512058,1
2022.11.08 22:00:00;1,00707;1,0088;0,99927;1,00091;629916,84
2022.11.09 22:00:00;1,00091;1,02218;0,99354;1,0208;692385,77
2022.11.10 22:00:00;1,02033;1,0364;1,0163;1,03538;673664,94
2022.11.13 22:00:00;1,03354;1,03584;1,02713;1,03258;643659,25
2022.11.14 22:00:00;1,03259;1,04808;1,02799;1,03478;850493,35
2022.11.15 22:00:00;1,03465;1,04384;1,03307;1,0394;833379,71
2022.11.16 22:00:00;1,03913;1,04065;1,03051;1,03643;604013,63
2022.11.17 22:00:00;1,03643;1,03959;1,03134;1,03235;550951,83
2022.11.20 22:00:00;1,03227;1,0333;1,02227;1,02387;571711,98
2022.11.21 22:00:00;1,02383;1,03082;1,02375;1,03036;505365,57
2022.11.22 22:00:00;1,03026;1,04048;1,02963;1,03942;587041,4
2022.11.23 22:00:00;1,03914;1,04484;1,03816;1,04071;459735,6
2022.11.24 22:00:00;1,04071;1,04291;1,03546;1,03926;475977,74
2022.11.27 22:00:00;1,03716;1,04967;1,033;1,03385;460942,12
2022.11.28 22:00:00;1,03373;1,03942;1,03197;1,0328;663756,32
2022.11.29 22:00:00;1,0328;1,04285;1,029;1,04041;747723,27
2022.11.30 22:00:00;1,04041;1,05336;1,03929;1,05209;778319,444
2022.12.01 22:00:00;1,05156;1,05448;1,0428;1,05325;700301,44
2022.12.04 22:00:00;1,05303;1,05948;1,048;1,04877;576823,27
2022.12.05 22:00:00;1,04877;1,05326;1,04591;1,04629;607940
2022.12.06 22:00:00;1,0462;1,05496;1,04431;1,05029;587272,57
2022.12.07 22:00:00;1,05011;1,05647;1,04895;1,0554;527222,35
2022.12.08 22:00:00;1,0554;1,05881;1,05027;1,05316;523533,84
2022.12.11 22:00:00;1,05264;1,058;1,05057;1,05352;434381,69
2022.12.12 22:00:00;1,05355;1,06731;1,05278;1,06323;496474,54
2022.12.13 22:00:00;1,06323;1,0695;1,06187;1,06811;537605,555
2022.12.14 22:00:00;1,06793;1,07361;1,05921;1,06256;532980,55
2022.12.15 22:00:00;1,0625;1,0663;1,05839;1,05839;469569,22
2022.12.18 22:00:00;1,05895;1,06578;1,05757;1,06062;366451,61
2022.12.19 22:00:00;1,06062;1,06584;1,05788;1,06232;587564,24
2022.12.20 22:00:00;1,06231;1,06455;1,05901;1,06035;398637,68
2022.12.21 22:00:00;1,06035;1,06593;1,0573;1,05954;388216,28
2022.12.22 22:00:00;1,05954;1,06328;1,05867;1,06172;385247,23
2022.12.25 22:00:00;1,06114;1,06361;1,05979;1,06361;46219,86
2022.12.26 22:00:00;1,0636;1,06694;1,06113;1,06393;283970,15
2022.12.27 22:00:00;1,06398;1,06742;1,06065;1,06117;345736,89
2022.12.28 22:00:00;1,06113;1,06902;1,06092;1,06608;322639,25
